==========[1/120]	loss 1.982	top1 acc 24.750 (24.750)	top5 acc 78.500	Train top1 20.248	loss 2.800	(128, 21.000), (160, 23.000), (192, 28.000), (224, 27.000), 
==========[2/120]	loss 1.542	top1 acc 50.500 (50.500)	top5 acc 94.000	Train top1 33.408	loss 1.946	(128, 43.000), (160, 53.000), (192, 53.000), (224, 53.000), 
==========[3/120]	loss 1.205	top1 acc 58.500 (58.500)	top5 acc 96.750	Train top1 45.320	loss 1.653	(128, 58.000), (160, 57.000), (192, 59.000), (224, 60.000), 
==========[4/120]	loss 1.242	top1 acc 59.500 (59.500)	top5 acc 93.750	Train top1 50.742	loss 1.513	(128, 60.000), (160, 60.000), (192, 60.000), (224, 58.000), 
==========[5/120]	loss 0.980	top1 acc 72.250 (72.250)	top5 acc 95.500	Train top1 55.502	loss 1.367	(128, 70.000), (160, 75.000), (192, 73.000), (224, 71.000), 
==========[6/120]	loss 0.913	top1 acc 72.000 (72.250)	top5 acc 97.000	Train top1 58.480	loss 1.298	(128, 71.000), (160, 75.000), (192, 70.000), (224, 72.000), 
==========[7/120]	loss 0.877	top1 acc 70.000 (72.250)	top5 acc 97.500	Train top1 60.647	loss 1.205	(128, 67.000), (160, 70.000), (192, 70.000), (224, 73.000), 
==========[8/120]	loss 0.888	top1 acc 70.000 (72.250)	top5 acc 98.250	Train top1 57.744	loss 1.298	(128, 70.000), (160, 73.000), (192, 69.000), (224, 68.000), 
==========[9/120]	loss 0.756	top1 acc 75.500 (75.500)	top5 acc 98.750	Train top1 62.824	loss 1.160	(128, 71.000), (160, 76.000), (192, 77.000), (224, 78.000), 
==========[10/120]	loss 0.761	top1 acc 74.500 (75.500)	top5 acc 98.000	Train top1 63.742	loss 1.106	(128, 72.000), (160, 72.000), (192, 77.000), (224, 77.000), 
==========[11/120]	loss 0.782	top1 acc 73.000 (75.500)	top5 acc 97.500	Train top1 62.600	loss 1.153	(128, 72.000), (160, 74.000), (192, 73.000), (224, 73.000), 
==========[12/120]	loss 0.672	top1 acc 80.000 (80.000)	top5 acc 98.250	Train top1 64.767	loss 1.077	(128, 72.000), (160, 82.000), (192, 82.000), (224, 84.000), 
==========[13/120]	loss 0.634	top1 acc 78.250 (80.000)	top5 acc 98.750	Train top1 66.378	loss 1.030	(128, 77.000), (160, 81.000), (192, 79.000), (224, 76.000), 
==========[14/120]	loss 0.790	top1 acc 75.750 (80.000)	top5 acc 97.500	Train top1 66.218	loss 1.046	(128, 70.000), (160, 75.000), (192, 78.000), (224, 80.000), 
