==========fail to load checkpoint from teacher_model_MIT_imagenette/checkpoint
==========[-4/120]	loss 1.888	top1 acc 31.000 (31.000)	top5 acc 83.250	Train top1 18.625	loss 4.530	(128, 32.000), (160, 31.000), (192, 30.000), (224, 31.000), 
==========[-3/120]	loss 1.822	top1 acc 39.750 (39.750)	top5 acc 87.750	Train top1 35.863	loss 1.873	(128, 34.000), (160, 40.000), (192, 42.000), (224, 43.000), 
==========[-2/120]	loss 1.352	top1 acc 51.750 (51.750)	top5 acc 95.000	Train top1 42.886	loss 1.708	(128, 49.000), (160, 51.000), (192, 51.000), (224, 56.000), 
==========[-1/120]	loss 1.463	top1 acc 50.500 (51.750)	top5 acc 93.750	Train top1 49.087	loss 1.560	(128, 48.000), (160, 51.000), (192, 51.000), (224, 52.000), 
==========[0/120]	loss 1.074	top1 acc 67.000 (67.000)	top5 acc 94.750	Train top1 53.400	loss 1.440	(128, 67.000), (160, 68.000), (192, 69.000), (224, 64.000), 
==========[1/120]	loss 0.894	top1 acc 73.500 (73.500)	top5 acc 97.500	Train top1 57.103	loss 1.337	(128, 69.000), (160, 74.000), (192, 76.000), (224, 75.000), 
==========[2/120]	loss 0.876	top1 acc 74.000 (74.000)	top5 acc 98.250	Train top1 61.725	loss 1.197	(128, 71.000), (160, 73.000), (192, 77.000), (224, 75.000), 
==========[3/120]	loss 0.720	top1 acc 77.250 (77.250)	top5 acc 99.500	Train top1 64.265	loss 1.126	(128, 78.000), (160, 76.000), (192, 77.000), (224, 78.000), 
==========[4/120]	loss 0.663	top1 acc 79.250 (79.250)	top5 acc 97.250	Train top1 67.126	loss 1.036	(128, 76.000), (160, 81.000), (192, 79.000), (224, 81.000), 
==========[5/120]	loss 0.698	top1 acc 79.000 (79.250)	top5 acc 99.250	Train top1 69.079	loss 0.975	(128, 77.000), (160, 80.000), (192, 81.000), (224, 78.000), 
==========[6/120]	loss 0.592	top1 acc 79.500 (79.500)	top5 acc 97.500	Train top1 70.039	loss 0.923	(128, 79.000), (160, 77.000), (192, 81.000), (224, 81.000), 
==========[7/120]	loss 0.622	top1 acc 80.250 (80.250)	top5 acc 99.250	Train top1 71.897	loss 0.888	(128, 78.000), (160, 80.000), (192, 83.000), (224, 80.000), 
==========[8/120]	loss 0.546	top1 acc 83.750 (83.750)	top5 acc 98.750	Train top1 72.132	loss 0.874	(128, 83.000), (160, 86.000), (192, 82.000), (224, 84.000), 
==========[9/120]	loss 0.546	top1 acc 82.000 (83.750)	top5 acc 98.250	Train top1 73.327	loss 0.832	(128, 77.000), (160, 81.000), (192, 86.000), (224, 84.000), 
==========[10/120]	loss 0.535	top1 acc 83.500 (83.750)	top5 acc 98.000	Train top1 75.334	loss 0.783	(128, 83.000), (160, 81.000), (192, 85.000), (224, 85.000), 
==========[11/120]	loss 0.554	top1 acc 85.500 (85.500)	top5 acc 98.750	Train top1 75.376	loss 0.778	(128, 84.000), (160, 87.000), (192, 86.000), (224, 85.000), 
==========[12/120]	loss 0.421	top1 acc 85.250 (85.500)	top5 acc 99.750	Train top1 75.963	loss 0.752	(128, 84.000), (160, 85.000), (192, 85.000), (224, 87.000), 
==========[13/120]	loss 0.473	top1 acc 83.500 (85.500)	top5 acc 99.000	Train top1 76.219	loss 0.740	(128, 81.000), (160, 83.000), (192, 85.000), (224, 85.000), 
==========[14/120]	loss 0.407	top1 acc 86.250 (86.250)	top5 acc 100.000	Train top1 77.628	loss 0.702	(128, 85.000), (160, 85.000), (192, 86.000), (224, 89.000), 
==========[15/120]	loss 0.356	top1 acc 88.250 (88.250)	top5 acc 100.000	Train top1 78.749	loss 0.665	(128, 85.000), (160, 90.000), (192, 89.000), (224, 89.000), 
==========[16/120]	loss 0.382	top1 acc 86.250 (88.250)	top5 acc 100.000	Train top1 79.091	loss 0.653	(128, 85.000), (160, 88.000), (192, 85.000), (224, 87.000), 
==========[17/120]	loss 0.405	top1 acc 87.500 (88.250)	top5 acc 100.000	Train top1 79.774	loss 0.648	(128, 85.000), (160, 87.000), (192, 87.000), (224, 91.000), 
==========[18/120]	loss 0.358	top1 acc 89.250 (89.250)	top5 acc 99.500	Train top1 79.272	loss 0.655	(128, 87.000), (160, 88.000), (192, 88.000), (224, 94.000), 
==========[19/120]	loss 0.412	top1 acc 87.750 (89.250)	top5 acc 99.000	Train top1 80.233	loss 0.612	(128, 85.000), (160, 86.000), (192, 88.000), (224, 92.000), 
==========[20/120]	loss 0.394	top1 acc 87.750 (89.250)	top5 acc 99.250	Train top1 81.172	loss 0.599	(128, 86.000), (160, 90.000), (192, 85.000), (224, 90.000), 
==========[21/120]	loss 0.358	top1 acc 89.000 (89.250)	top5 acc 99.750	Train top1 80.297	loss 0.615	(128, 87.000), (160, 89.000), (192, 90.000), (224, 90.000), 
==========[22/120]	loss 0.436	top1 acc 86.000 (89.250)	top5 acc 99.250	Train top1 81.556	loss 0.581	(128, 84.000), (160, 87.000), (192, 86.000), (224, 87.000), 
==========[23/120]	loss 0.363	top1 acc 88.500 (89.250)	top5 acc 99.750	Train top1 81.215	loss 0.602	(128, 87.000), (160, 90.000), (192, 89.000), (224, 88.000), 
==========[24/120]	loss 0.288	top1 acc 91.250 (91.250)	top5 acc 100.000	Train top1 82.165	loss 0.558	(128, 90.000), (160, 91.000), (192, 90.000), (224, 94.000), 
==========[25/120]	loss 0.364	top1 acc 86.250 (91.250)	top5 acc 100.000	Train top1 81.834	loss 0.564	(128, 84.000), (160, 86.000), (192, 87.000), (224, 88.000), 
==========[26/120]	loss 0.290	top1 acc 90.000 (91.250)	top5 acc 99.750	Train top1 82.752	loss 0.542	(128, 87.000), (160, 90.000), (192, 91.000), (224, 92.000), 
==========[27/120]	loss 0.255	top1 acc 92.750 (92.750)	top5 acc 99.250	Train top1 82.645	loss 0.535	(128, 89.000), (160, 93.000), (192, 94.000), (224, 95.000), 
==========[28/120]	loss 0.342	top1 acc 90.000 (92.750)	top5 acc 100.000	Train top1 83.595	loss 0.510	(128, 86.000), (160, 91.000), (192, 90.000), (224, 93.000), 
==========[29/120]	loss 0.331	top1 acc 87.000 (92.750)	top5 acc 100.000	Train top1 82.986	loss 0.525	(128, 86.000), (160, 85.000), (192, 87.000), (224, 90.000), 
==========[30/120]	loss 0.305	top1 acc 89.500 (92.750)	top5 acc 100.000	Train top1 83.221	loss 0.518	(128, 86.000), (160, 90.000), (192, 92.000), (224, 90.000), 
==========[31/120]	loss 0.299	top1 acc 90.750 (92.750)	top5 acc 99.250	Train top1 83.627	loss 0.506	(128, 93.000), (160, 91.000), (192, 89.000), (224, 90.000), 
==========[32/120]	loss 0.274	top1 acc 90.000 (92.750)	top5 acc 99.500	Train top1 84.470	loss 0.481	(128, 88.000), (160, 91.000), (192, 90.000), (224, 91.000), 
==========[33/120]	loss 0.324	top1 acc 86.750 (92.750)	top5 acc 100.000	Train top1 84.609	loss 0.482	(128, 82.000), (160, 86.000), (192, 89.000), (224, 90.000), 
==========[34/120]	loss 0.252	top1 acc 92.000 (92.750)	top5 acc 100.000	Train top1 84.129	loss 0.483	(128, 89.000), (160, 93.000), (192, 93.000), (224, 93.000), 
==========[35/120]	loss 0.227	top1 acc 92.250 (92.750)	top5 acc 100.000	Train top1 85.409	loss 0.465	(128, 90.000), (160, 94.000), (192, 92.000), (224, 93.000), 
==========[36/120]	loss 0.265	top1 acc 91.750 (92.750)	top5 acc 99.000	Train top1 85.676	loss 0.451	(128, 89.000), (160, 93.000), (192, 94.000), (224, 91.000), 
==========[37/120]	loss 0.276	top1 acc 92.500 (92.750)	top5 acc 99.250	Train top1 84.886	loss 0.463	(128, 92.000), (160, 93.000), (192, 92.000), (224, 93.000), 
==========[38/120]	loss 0.285	top1 acc 91.000 (92.750)	top5 acc 99.500	Train top1 85.591	loss 0.457	(128, 91.000), (160, 90.000), (192, 92.000), (224, 91.000), 
==========[39/120]	loss 0.269	top1 acc 92.000 (92.750)	top5 acc 100.000	Train top1 85.900	loss 0.436	(128, 90.000), (160, 93.000), (192, 94.000), (224, 91.000), 
==========[40/120]	loss 0.185	top1 acc 92.500 (92.750)	top5 acc 100.000	Train top1 85.943	loss 0.436	(128, 91.000), (160, 95.000), (192, 93.000), (224, 91.000), 
==========[41/120]	loss 0.272	top1 acc 92.250 (92.750)	top5 acc 99.250	Train top1 85.964	loss 0.417	(128, 91.000), (160, 93.000), (192, 92.000), (224, 93.000), 
==========[42/120]	loss 0.236	top1 acc 91.000 (92.750)	top5 acc 99.750	Train top1 86.679	loss 0.409	(128, 92.000), (160, 91.000), (192, 91.000), (224, 90.000), 
